pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
DIAEJUCFEAC9EUUT,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucfjtht9dvf?pid=DIAEJUCFEAC9EUUT,499,225,No rating available
DIAEJUCFFWRXYACA,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucfmuzgf6hc?pid=DIAEJUCFFWRXYACA,499,225,No rating available
DIAEJUCFHWGHUQFP,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucfcnrkfr9f?pid=DIAEJUCFHWGHUQFP,499,225,No rating available
DIAEJUCFPWJYHFVH,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucfhdb3yzwm?pid=DIAEJUCFPWJYHFVH,499,225,No rating available
DIAEJUCFTK5BAXKH,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucfb2kuahfz?pid=DIAEJUCFTK5BAXKH,499,225,No rating available
DIAEJUCFZTY2VHUP,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucfqz7s2ejd?pid=DIAEJUCFZTY2VHUP,499,225,No rating available
DIAEJUCYZ4UQXQTN,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,SHOPMANIA,http://www.flipkart.com/shopmania-designer-notebook-a5-spiral-bound/p/itmejucy2wdybcty?pid=DIAEJUCYZ4UQXQTN,499,225,No rating available
DISEGEBDVDZ8KEBS,Handiana Solid Wood Dining Set,Handiana,http://www.flipkart.com/handiana-solid-wood-dining-set/p/itmegeccca34z6gm?pid=DISEGEBDVDZ8KEBS,29999,24999,No rating available
DISEGEBDYGCVZWPF,Handiana Solid Wood Dining Set,Handiana,http://www.flipkart.com/handiana-solid-wood-dining-set/p/itmegeccth6r23sz?pid=DISEGEBDYGCVZWPF,24999,17999,No rating available
DISEGEBEEUZFTQYN,Handiana Solid Wood Dining Set,Handiana,http://www.flipkart.com/handiana-solid-wood-dining-set/p/itmegeccahugypra?pid=DISEGEBEEUZFTQYN,24999,17999,No rating available
